"Domain"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"	"SGB"
"d__Bacteria"	"p__Actinobacteriota"	"c__Acidimicrobiia"	"o__Acidimicrobiales"	"f__MedAcidi-G1"	"g__S20-B6"	"s__S20-B6 sp002699725"	"SGB36772"
"d__Bacteria"	"p__Bdellovibrionota"	"c__Bdellovibrionia"	"o__Bdellovibrionales"	"f__UBA840"	"g__UBA6502"	"s__UBA6502 sp002436415"	"SGB3686"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__UBA629"	"s__UBA629 sp900316665"	"SGB37069"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Catonella"	"s__Catonella sp900314885"	"SGB37078"
"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Burkholderiales"	"f__Methylophilaceae"	"g__BACL14"	"s__BACL14 sp002384685"	"SGB3707"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__RUG147"	"s__RUG147 sp900315495"	"SGB37121"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__UBA1066"	"s__UBA1066 sp900317515"	"SGB37164"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__Peptostreptococcales"	"f__Anaerovoracaceae"	"g__RUG100"	"s__RUG100 sp900315555"	"SGB37203"
"d__Bacteria"	"p__Verrucomicrobiota"	"c__Kiritimatiellae"	"o__RFP12"	"f__UBA1067"	"g__UBA1067"	"s__UBA1067 sp900321575"	"SGB37228"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Oscillospiraceae"	"g__RUG678"	"s__RUG678 sp900321335"	"SGB37310"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__Saccharofermentanales"	"f__Saccharofermentanaceae"	"g__Firm-16"	"s__Firm-16 sp002310155"	"SGB37440"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__Saccharofermentanales"	"f__Saccharofermentanaceae"	"g__Saccharofermentans"	"s__Saccharofermentans sp900314745"	"SGB37445"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Acutalibacteraceae"	"g__UBA1213"	"s__UBA1213 sp900322105"	"SGB37524"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Acutalibacteraceae"	"g__CAG-964"	"s__CAG-964 sp900316615"	"SGB37531"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Acutalibacteraceae"	"g__Ruminococcus_E"	"s__Ruminococcus_E sp900316385"	"SGB37541"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Acutalibacteraceae"	"g__RUG762"	"s__RUG762 sp900321515"	"SGB37568"
"d__Bacteria"	"p__Verrucomicrobiota"	"c__Verrucomicrobiae"	"o__Verrucomicrobiales"	"f__Akkermansiaceae"	"g__UBA985"	"s__UBA985 sp002292185"	"SGB37683"
"d__Bacteria"	"p__Omnitrophota"	"c__Koll11"	"o__GIF10"	"f__UBA6249"	"g__UBA5776"	"s__UBA5776 sp002418595"	"SGB37713"
"d__Bacteria"	"p__Desulfobacterota_B"	"c__Binatia"	"o__Binatales"	"f__Binataceae"	"g__Binatus"	"s__Binatus soli"	"SGB37794"
"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Burkholderiales"	"f__Burkholderiaceae"	"g__UBA5157"	"s__UBA5157 sp002415335"	"SGB38016"
"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Burkholderiales"	"f__Burkholderiaceae"	"g__RS62"	"s__RS62 sp002340675"	"SGB38025"
"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Burkholderiales"	"f__Methylophilaceae"	"g__Methylopumilus"	"s__Methylopumilus universalis"	"SGB38034"
"d__Bacteria"	"p__Actinobacteriota"	"c__Actinomycetia"	"o__Actinomycetales"	"f__Micrococcaceae"	"g__Glutamicibacter"	"s__Glutamicibacter creatinolyticus"	"SGB38077"
"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Arenicellales"	"f__UBA868"	"g__REDSEA-S09-B13"	"s__REDSEA-S09-B13 sp003447825"	"SGB3820"
"d__Bacteria"	"p__Desulfobacterota"	"c__Desulfobulbia"	"o__Desulfobulbales"	"f__Desulfurivibrionaceae"	"g__UBA2262"	"s__UBA2262 sp002347185"	"SGB38687"
"d__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Mycoplasmatales"	"f__Mycoplasmoidaceae"	"g__Eperythrozoon_A"	"s__Eperythrozoon_A parvum"	"SGB3871"
"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Pseudomonadales"	"f__UBA7434"	"g__UBA7434"	"s__UBA7434 sp002480045"	"SGB38764"
"d__Bacteria"	"p__Firmicutes_F"	"c__Halanaerobiia"	"o__Halanaerobiales"	"f__DTU029"	"g__DTU029"	"s__DTU029 sp001512435"	"SGB38937"
"d__Bacteria"	"p__Firmicutes_B"	"c__Syntrophomonadia"	"o__Syntrophomonadales"	"f__Syntrophomonadaceae"	"g__UBA4851"	"s__UBA4851 sp002408445"	"SGB38955"
"d__Bacteria"	"p__Firmicutes_C"	"c__Negativicutes"	"o__Sporomusales"	"f__Thermosinaceae"	"g__Anaerospora"	"s__Anaerospora sp002337925"	"SGB38963"
"d__Bacteria"	"p__Spirochaetota"	"c__Spirochaetia"	"o__Sphaerochaetales"	"f__Sphaerochaetaceae"	"g__UBA9732"	"s__UBA9732 sp900321635"	"SGB39013"
"d__Bacteria"	"p__Cyanobacteria"	"c__Vampirovibrionia"	"o__Obscuribacterales"	"f__Obscuribacteraceae"	"g__Obscuribacter"	"s__Obscuribacter phosphatis"	"SGB39251"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__TANB77"	"f__CAG-508"	"g__Scatovivens"	"s__Scatovivens sp002449785"	"SGB39298"
"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__UBA932"	"g__Cryptobacteroides"	"s__Cryptobacteroides sp902782225"	"SGB40047"
"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__UBA932"	"g__Cryptobacteroides"	"s__Cryptobacteroides sp902767465"	"SGB40057"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Bariatricus"	"s__Bariatricus massiliensis"	"SGB4006"
"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__UBA932"	"g__Cryptobacteroides"	"s__Cryptobacteroides sp009774765"	"SGB40070"
"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Rikenellaceae"	"g__Tidjanibacter"	"s__Tidjanibacter sp910577285"	"SGB40188"
"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Rikenellaceae"	"g__Alistipes"	"s__Alistipes sp910577475"	"SGB40196"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__Peptostreptococcales"	"f__Acidaminobacteraceae"	"g__Fusibacter_A"	"s__Fusibacter_A sp001748365"	"SGB4019"
"d__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Erysipelotrichales"	"f__Erysipelotrichaceae"	"g__Dielma"	"s__Dielma fastidiosa"	"SGB4031"
"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Muribaculaceae"	"g__CAG-873"	"s__CAG-873 sp009775225"	"SGB40324"
"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Muribaculaceae"	"g__Duncaniella"	"s__Duncaniella sp910577255"	"SGB40340"
"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Bacteroidaceae"	"g__Phocaeicola"	"s__Phocaeicola sp902779535"	"SGB40399"
"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Bacteroidaceae"	"g__UBA6382"	"s__UBA6382 sp902788275"	"SGB40416"
"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Bacteroidaceae"	"g__Prevotella"	"s__Prevotella sp902798285"	"SGB40705"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__Christensenellales"	"f__CAG-314"	"g__Fimimonas"	"s__Fimimonas sp910586625"	"SGB40968"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__Christensenellales"	"f__Borkfalkiaceae"	"g__Coproplasma"	"s__"	"SGB40991"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__Christensenellales"	"f__CAG-552"	"g__MGBC100320"	"s__MGBC100320 sp910577995"	"SGB41013"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__Saccharofermentanales"	"f__Saccharofermentanaceae"	"g__Saccharofermentans"	"s__Saccharofermentans sp017428155"	"SGB41092"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__Peptostreptococcales"	"f__Anaerovoracaceae"	"g__Eubacterium_B"	"s__Eubacterium_B sp902776725"	"SGB41230"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__"	"s__"	"SGB41434"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__14-2"	"s__14-2 sp910577785"	"SGB41446"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Acetatifactor"	"s__Acetatifactor sp011959105"	"SGB41554"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__1XD8-76"	"s__"	"SGB41570"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__UBA3282"	"s__UBA3282 sp910586705"	"SGB41588"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__UMGS1370"	"s__UMGS1370 sp910577645"	"SGB41650"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Caccovicinus"	"s__Caccovicinus sp910575565"	"SGB41654"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Ventrimonas"	"s__Ventrimonas sp910575255"	"SGB41672"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__MGBC114844"	"s__MGBC114844 sp910585255"	"SGB41716"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__ISDg"	"s__ISDg sp902797475"	"SGB41771"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Clostridium_R"	"s__Clostridium_R sp003445895"	"SGB41950"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__UBA1712"	"s__UBA1712 sp902779505"	"SGB42244"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Ruminococcaceae"	"g__Firm-04"	"s__"	"SGB42378"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Acutalibacteraceae"	"g__UBA737"	"s__UBA737 sp016287385"	"SGB42500"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Acutalibacteraceae"	"g__UBA1213"	"s__UBA1213 sp902768825"	"SGB42594"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Acutalibacteraceae"	"g__Ruminococcus_E"	"s__Ruminococcus_E sp902799325"	"SGB42659"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__Peptostreptococcales"	"f__Anaerovoracaceae"	"g__RUG14258"	"s__RUG14258 sp902797345"	"SGB42832"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Acutalibacteraceae"	"g__UBA6857"	"s__"	"SGB43021"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Acutalibacteraceae"	"g__UBA6857"	"s__UBA6857 sp902761265"	"SGB43026"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Acutalibacteraceae"	"g__UBA1425"	"s__UBA1425 sp902787275"	"SGB43033"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Acutalibacteraceae"	"g__Eubacterium_R"	"s__Eubacterium_R sp900540305"	"SGB4315"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Oscillospiraceae"	"g__Faecousia"	"s__Faecousia sp902767915"	"SGB43316"
"d__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__RF32"	"f__CAG-239"	"g__51-20"	"s__51-20 sp910587405"	"SGB43808"
"d__Bacteria"	"p__Spirochaetota"	"c__Spirochaetia"	"o__Treponematales"	"f__Treponemataceae"	"g__Treponema_D"	"s__Treponema_D sp003455655"	"SGB44164"
"d__Bacteria"	"p__Cyanobacteria"	"c__Vampirovibrionia"	"o__Gastranaerophilales"	"f__Gastranaerophilaceae"	"g__UBA1221"	"s__UBA1221 sp902777385"	"SGB44364"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__Lachnospirales"	"f__UBA1390"	"g__NSJ-32"	"s__NSJ-32 sp014384895"	"SGB4438"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Ruminococcaceae"	"g__RUG12519"	"s__RUG12519 sp902789925"	"SGB44543"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Johnsonella"	"s__"	"SGB4471"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Johnsonella"	"s__Johnsonella sp900766185"	"SGB4472_group"
"d__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__RF39"	"f__UBA660"	"g__CAG-582"	"s__CAG-582 sp910587065"	"SGB44767"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__F0428"	"s__F0428 sp003043955"	"SGB4479"
"d__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rickettsiales"	"f__Rickettsiaceae"	"g__SXXS01"	"s__SXXS01 sp005791235"	"SGB45716"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Ruminococcus_B"	"s__Ruminococcus_B gnavus"	"SGB4584"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Butyribacter"	"s__Butyribacter sp001916135"	"SGB4655"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Blautia_A"	"s__Blautia_A hydrogenotrophica"	"SGB4677"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Clostridium_Q"	"s__Clostridium_Q saccharolyticum_A"	"SGB4701"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__Clostridiales"	"f__Clostridiaceae"	"g__Clostridium_J"	"s__Clostridium_J sp900547625"	"SGB47286"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__Peptostreptococcales"	"f__Anaerovoracaceae"	"g__RGIG7179"	"s__"	"SGB47380"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Acutalibacteraceae"	"g__Eubacterium_R"	"s__Eubacterium_R sp900766895"	"SGB47479"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Mobilitalea"	"s__Mobilitalea sp003519685"	"SGB47527"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Mediterraneibacter"	"s__Mediterraneibacter sp900761655"	"SGB47543"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Choladocola"	"s__Choladocola sp003480725"	"SGB4767"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Enterocloster"	"s__Enterocloster sp900770345"	"SGB48020"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Blautia_A"	"s__Blautia_A sp000436615"	"SGB4810"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Blautia_A"	"s__Blautia_A obeum"	"SGB4811_group"
"d__Bacteria"	"p__Actinobacteriota"	"c__Actinomycetia"	"o__Nanopelagicales"	"f__Nanopelagicaceae"	"g__Nanopelagicus"	"s__Nanopelagicus sp001437855"	"SGB48813"
"d__Bacteria"	"p__Actinobacteriota"	"c__Actinomycetia"	"o__Nanopelagicales"	"f__AcAMD-5"	"g__ATZT02"	"s__ATZT02 sp000428345"	"SGB48839"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__W0P33-017"	"s__"	"SGB4887"
"d__Bacteria"	"p__Marinisomatota"	"c__Marinisomatia"	"o__Marinisomatales"	"f__UBA8229"	"g__AB-629-J13"	"s__"	"SGB48892"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__Acetivibrionales"	"f__DSM-27016"	"g__Ruminiclostridium"	"s__Ruminiclostridium herbifermentans"	"SGB49044"
"d__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Paenibacillales"	"f__Paenibacillaceae"	"g__Cohnella"	"s__Cohnella sp004801405"	"SGB49128"
"d__Bacteria"	"p__Actinobacteriota"	"c__Acidimicrobiia"	"o__Actinomarinales"	"f__Actinomarinaceae"	"g__Actinomarina"	"s__Actinomarina sp902533795"	"SGB49321"
"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Sphingobacteriales"	"f__Sphingobacteriaceae"	"g__Parapedobacter"	"s__Parapedobacter defluvii"	"SGB49384"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Roseburia"	"s__Roseburia sp900542495"	"SGB4939"
"d__Bacteria"	"p__Cloacimonadota"	"c__Cloacimonadia"	"o__JGIOTU-2"	"f__JGIOTU-2"	"g__JGIOTU-2"	"s__JGIOTU-2 sp000404785"	"SGB49409"
"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Chitinophagales"	"f__Chitinophagaceae"	"g__Ilyomonas"	"s__Ilyomonas limi"	"SGB49733"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Eisenbergiella"	"s__Eisenbergiella sp900539715"	"SGB4994"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Eubacterium_Q"	"s__Eubacterium_Q ruminantium_A"	"SGB5005"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Butyrivibrio"	"s__Butyrivibrio proteoclasticus_B"	"SGB5035"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Acutalibacteraceae"	"g__UMGS1491"	"s__"	"SGB50369"
"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__SAR86"	"f__SAR86"	"g__GCA-2707915"	"s__GCA-2707915 sp003212335"	"SGB50514"
"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Enterobacterales"	"f__Kangiellaceae"	"g__Kangiella"	"s__Kangiella sp003370465"	"SGB50749"
"d__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Pelagibacterales"	"f__Pelagibacteraceae"	"g__Pelagibacter"	"s__Pelagibacter sp003212415"	"SGB50982"
"d__Bacteria"	"p__Cyanobacteria"	"c__Cyanobacteriia"	"o__Cyanobacteriales"	"f__Oscillatoriaceae"	"g__Oxynema"	"s__Oxynema aestuarii"	"SGB51096"
"d__Bacteria"	"p__Cyanobacteria"	"c__Cyanobacteriia"	"o__PCC-6307"	"f__Cyanobiaceae"	"g__Prochlorococcus_A"	"s__Prochlorococcus_A sp003216725"	"SGB51376"
"d__Bacteria"	"p__Cyanobacteria"	"c__Cyanobacteriia"	"o__PCC-6307"	"f__Cyanobiaceae"	"g__AG-363-K07"	"s__AG-363-K07 sp003280295"	"SGB51430"
"d__Bacteria"	"p__Cyanobacteria"	"c__Cyanobacteriia"	"o__PCC-6307"	"f__Cyanobiaceae"	"g__AG-409-J16"	"s__AG-409-J16 sp003215655"	"SGB51449"
"d__Bacteria"	"p__Cyanobacteria"	"c__Cyanobacteriia"	"o__PCC-6307"	"f__Cyanobiaceae"	"g__AG-363-P08"	"s__AG-363-P08 sp003280055"	"SGB51456"
"d__Bacteria"	"p__Cyanobacteria"	"c__Cyanobacteriia"	"o__PCC-6307"	"f__Cyanobiaceae"	"g__Synechococcus_E"	"s__Synechococcus_E sp003208835"	"SGB51578"
"d__Bacteria"	"p__Campylobacterota"	"c__Campylobacteria"	"o__Campylobacterales"	"f__Helicobacteraceae"	"g__HGM08974"	"s__HGM08974 sp900766555"	"SGB51968"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__CAG-791"	"s__CAG-791 sp000431495"	"SGB5239"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Stomatobaculum"	"s__Stomatobaculum longum"	"SGB5265"
"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Chitinophagales"	"f__Saprospiraceae"	"g__Lewinella_A"	"s__Lewinella_A litorea"	"SGB52971"
"d__Bacteria"	"p__Planctomycetota"	"c__Planctomycetia"	"o__Pirellulales"	"f__Pirellulaceae"	"g__Stieleria"	"s__Stieleria sp002167455"	"SGB53122"
"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Enterobacterales_A"	"f__Enterobacteriaceae_A"	"g__Tachikawaea"	"s__Tachikawaea gelatinosa"	"SGB5384"
"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Enterobacterales_A"	"f__Enterobacteriaceae_A"	"g__Buchnera"	"s__Buchnera aphidicola_D"	"SGB5393"
"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__PS1"	"f__Thioglobaceae"	"g__Ruthia"	"s__Ruthia magnifica"	"SGB5531"
"d__Bacteria"	"p__Dormibacterota"	"c__Dormibacteria"	"o__Dormibacterales"	"f__Dormibacteraceae"	"g__CF-118"	"s__CF-118 sp005880525"	"SGB55406"
"d__Bacteria"	"p__Actinobacteriota"	"c__Actinomycetia"	"o__Actinomycetales"	"f__Microbacteriaceae"	"g__Microbacterium"	"s__Microbacterium sp005502885"	"SGB55579"
"d__Bacteria"	"p__Actinobacteriota"	"c__Actinomycetia"	"o__Actinomycetales"	"f__Micrococcaceae"	"g__Nesterenkonia"	"s__Nesterenkonia sphaerica"	"SGB55589"
"d__Bacteria"	"p__Actinobacteriota"	"c__Actinomycetia"	"o__Actinomycetales"	"f__Micrococcaceae"	"g__Sinomonas"	"s__Sinomonas susongensis"	"SGB55606"
"d__Bacteria"	"p__Actinobacteriota"	"c__Actinomycetia"	"o__Mycobacteriales"	"f__Mycobacteriaceae"	"g__Nocardia"	"s__Nocardia cyriacigeorgica_C"	"SGB55630"
"d__Bacteria"	"p__Actinobacteriota"	"c__Actinomycetia"	"o__Mycobacteriales"	"f__Mycobacteriaceae"	"g__Rhodococcus"	"s__Rhodococcus sp005484805"	"SGB55633"
"d__Bacteria"	"p__Actinobacteriota"	"c__Actinomycetia"	"o__Mycobacteriales"	"f__Micromonosporaceae"	"g__Glycomyces"	"s__Glycomyces paridis"	"SGB55662"
"d__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Mycoplasmatales"	"f__Mycoplasmataceae"	"g__Tullyiplasma"	"s__Tullyiplasma syrphidae"	"SGB5595"
"d__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Rhizobiaceae"	"g__Sinorhizobium"	"s__Sinorhizobium sp004827385"	"SGB56365"
"d__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhodospirillales"	"f__Rhodospirillaceae"	"g__BRH-c57"	"s__BRH-c57 sp000961745"	"SGB56518"
"d__Bacteria"	"p__Atribacterota"	"c__JS1"	"o__SB-45"	"f__34-128"	"g__CG2-30-33-13"	"s__CG2-30-33-13 sp002782675"	"SGB5654"
"d__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Beijerinckiaceae"	"g__Bosea"	"s__Bosea sp900466745"	"SGB56625"
"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Pseudomonadales"	"f__Pseudomonadaceae"	"g__Pseudomonas_E"	"s__Pseudomonas_E fluorescens_G"	"SGB56845"
"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Burkholderiales"	"f__Burkholderiaceae"	"g__Aquabacterium_A"	"s__Aquabacterium_A pictum"	"SGB57084"
"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Burkholderiales"	"f__Burkholderiaceae"	"g__Noviherbaspirillum"	"s__Noviherbaspirillum sp004804275"	"SGB57099"
"d__Bacteria"	"p__Firmicutes_C"	"c__Negativicutes"	"o__Acidaminococcales"	"f__Acidaminococcaceae"	"g__Acidaminococcus"	"s__Acidaminococcus massiliensis"	"SGB5742"
"d__Bacteria"	"p__Firmicutes_C"	"c__Negativicutes"	"o__Acidaminococcales"	"f__Acidaminococcaceae"	"g__Phascolarctobacterium_A"	"s__Phascolarctobacterium_A sp900551335"	"SGB5752"
"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Enterobacterales"	"f__Enterobacteriaceae"	"g__Chimaeribacter"	"s__Chimaeribacter sp005491205"	"SGB58217"
