"Domain"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"	"SGB"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Anaerobutyricum"	"s__Anaerobutyricum avicola"	"SGB66074"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__Christensenellales"	"f__CAG-138"	"g__RUG472"	"s__"	"SGB66167"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Oscillospiraceae"	"g__Avoscillospira"	"s__Avoscillospira stercorigallinarum"	"SGB66191"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__Peptostreptococcales"	"f__Filifactoraceae"	"g__Peptoanaerobacter"	"s__"	"SGB6619"
"d__Bacteria"	"p__Actinobacteriota"	"c__Actinomycetia"	"o__Mycobacteriales"	"f__Mycobacteriaceae"	"g__Corynebacterium"	"s__Corynebacterium faecigallinarum"	"SGB66234"
"d__Bacteria"	"p__Actinobacteriota"	"c__Actinomycetia"	"o__Actinomycetales"	"f__Micrococcaceae"	"g__Rothia"	"s__Rothia nasimurium_C"	"SGB66238"
"d__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Bacillales_B"	"f__DSM-18226"	"g__Bacillus_BT"	"s__Bacillus_BT aquiflavi"	"SGB66468"
"d__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Bacillales_B"	"f__Bacillaceae_B"	"g__Rossellomorea"	"s__Rossellomorea sp011398925"	"SGB66475"
"d__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__RF39"	"f__UBA660"	"g__CAG-417"	"s__"	"SGB66690"
"d__Bacteria"	"p__Planctomycetota"	"c__Phycisphaerae"	"o__Phycisphaerales"	"f__SM1A02"	"g__UBA8087"	"s__UBA8087 sp902521645"	"SGB66956"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__Tissierellales"	"f__Peptoniphilaceae"	"g__Peptoniphilus_A"	"s__Peptoniphilus_A raoultii"	"SGB6704"
"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__SAR86"	"f__AG-339-G14"	"g__AG-339-G14"	"s__AG-339-G14 sp902616715"	"SGB67347"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__Tissierellales"	"f__Peptoniphilaceae"	"g__Peptoniphilus_C"	"s__Peptoniphilus_C urinimassiliensis"	"SGB6736"
"d__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Erysipelotrichales"	"f__Coprobacillaceae"	"g__Sharpea"	"s__Sharpea azabuensis"	"SGB6787"
"d__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Pelagibacterales"	"f__Pelagibacteraceae"	"g__Pelagibacter"	"s__Pelagibacter sp902597335"	"SGB67974"
"d__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Pelagibacterales"	"f__Pelagibacteraceae"	"g__Pelagibacter"	"s__Pelagibacter sp902566785"	"SGB68687"
"d__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__TMED109"	"f__TMED131"	"g__TMED62"	"s__TMED62 sp902614225"	"SGB68963"
"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__P3"	"g__UBA1217"	"s__"	"SGB69049"
"d__Bacteria"	"p__Firmicutes_C"	"c__Negativicutes"	"o__Sporomusales"	"f__Sporomusaceae"	"g__Sporomusa"	"s__Sporomusa sphaeroides"	"SGB6904"
"d__Bacteria"	"p__Firmicutes_C"	"c__Negativicutes"	"o__Propionisporales"	"f__Propionisporaceae"	"g__Pelosinus"	"s__Pelosinus fermentans"	"SGB6906"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Oscillospiraceae"	"g__Limivicinus"	"s__"	"SGB69170"
"d__Bacteria"	"p__Firmicutes_C"	"c__Negativicutes"	"o__Veillonellales"	"f__Veillonellaceae"	"g__Veillonella_A"	"s__Veillonella_A magna"	"SGB6926"
"d__Bacteria"	"p__Firmicutes_C"	"c__Negativicutes"	"o__Veillonellales"	"f__Veillonellaceae"	"g__Veillonella"	"s__Veillonella tobetsuensis"	"SGB6935"
"d__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Lactobacillales"	"f__Lactobacillaceae"	"g__Leuconostoc"	"s__Leuconostoc pseudomesenteroides"	"SGB69408"
"d__Bacteria"	"p__Deferribacterota"	"c__Deferribacteres"	"o__Deferribacterales"	"f__Calditerrivibrionaceae"	"g__Calditerrivibrio"	"s__Calditerrivibrio nitroreducens"	"SGB6984"
"d__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Lactobacillales"	"f__Lactobacillaceae"	"g__Ligilactobacillus"	"s__Ligilactobacillus acidipiscis"	"SGB7059"
"d__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Lactobacillales"	"f__Lactobacillaceae"	"g__Leuconostoc"	"s__Leuconostoc citreum"	"SGB7122"
"d__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Lactobacillales"	"f__Lactobacillaceae"	"g__Lacticaseibacillus"	"s__Lacticaseibacillus thailandensis"	"SGB7151"
"d__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Lactobacillales"	"f__Lactobacillaceae"	"g__Pediococcus"	"s__Pediococcus stilesii"	"SGB7170"
"d__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Lactobacillales"	"f__Lactobacillaceae"	"g__Levilactobacillus"	"s__Levilactobacillus koreensis"	"SGB7192"
"d__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Lactobacillales"	"f__Lactobacillaceae"	"g__Lentilactobacillus"	"s__Lentilactobacillus farraginis"	"SGB7215"
"d__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Lactobacillales"	"f__Lactobacillaceae"	"g__Lentilactobacillus"	"s__Lentilactobacillus hilgardii"	"SGB7216"
